Format: Draw Number, Draw Date (yyyymmdd), Winning Number 1, 2, 3, 4, 5, 6, Supplementary 1, 2
1,19940222,37,43,15,19,40,4,36,8
2,19940301,34,31,11,20,3,42,8,40
3,19940308,7,44,9,6,45,28,42,35
4,19940315,5,20,30,44,23,29,22,13
5,19940322,10,40,38,16,20,13,9,32
6,19940329,1,16,2,15,38,41,18,13
7,19940405,33,8,6,11,3,36,2,16
8,19940412,40,21,4,45,3,22,10,1
9,19940419,36,15,30,6,28,7,24,42
10,19940426,9,5,13,33,29,12,30,3
11,19940503,1,33,41,18,15,31,37,39
12,19940510,15,4,6,8,36,17,20,45
13,19940517,33,39,13,14,22,23,3,24
14,19940524,42,40,1,16,29,30,8,20
15,19940531,24,9,40,17,11,38,6,21
16,19940607,19,36,2,35,9,18,15,43
17,19940614,29,13,31,24,30,41,9,4
18,19940621,34,20,38,43,26,12,23,17
19,19940628,24,21,7,19,17,36,5,23
20,19940705,29,11,26,3,13,6,31,27
21,19940712,12,18,20,23,41,10,33,2
22,19940719,34,13,39,2,9,37,35,11
23,19940726,2,30,34,7,9,26,42,25
24,19940802,3,31,39,11,25,12,40,27
25,19940809,6,24,4,25,31,29,22,9
26,19940816,17,45,10,20,18,30,22,38
27,19940823,36,22,5,1,9,17,4,28
28,19940830,35,11,39,32,2,36,21,31
29,19940906,16,40,12,33,11,24,5,26
30,19940913,32,24,11,33,21,28,13,14
31,19940920,21,7,6,25,9,39,14,44
32,19940927,24,32,17,29,37,6,31,1
33,19941004,16,21,3,37,15,9,27,39
34,19941011,31,20,25,39,16,26,21,1
35,19941018,29,1,14,18,19,3,34,44
36,19941025,30,8,43,34,35,13,37,31
37,19941101,35,38,19,17,32,4,9,7
38,19941108,32,35,30,24,22,11,17,44
39,19941115,26,31,43,35,8,37,42,15
40,19941122,7,40,34,43,31,14,11,22
41,19941129,4,36,43,27,45,21,38,42
42,19941206,34,38,18,2,24,43,42,12
43,19941213,12,8,27,15,11,22,10,29
44,19941220,24,41,10,31,4,22,42,34
45,19941227,30,11,13,29,14,45,3,9
46,19950103,40,24,9,35,41,17,42,43
47,19950110,45,40,13,34,18,4,35,16
48,19950117,20,28,22,33,18,10,4,42
49,19950124,4,41,35,15,9,33,8,17
50,19950131,22,30,5,17,25,11,35,24
51,19950207,43,38,22,33,18,17,23,8
52,19950214,6,16,34,15,28,18,17,36
53,19950221,35,30,26,43,9,11,32,28
54,19950228,1,8,13,12,5,17,20,35
55,19950307,23,20,12,10,34,28,8,11
56,19950314,7,9,15,1,38,29,22,34
57,19950321,27,4,28,36,2,42,3,37
58,19950328,1,14,12,21,4,32,11,18
59,19950404,32,19,18,38,35,36,42,23
60,19950411,39,28,29,20,4,5,40,33
61,19950418,17,7,26,2,36,3,28,38
62,19950425,16,14,9,20,3,34,18,38
63,19950502,34,15,16,3,25,30,33,41
64,19950509,14,20,45,12,28,27,4,11
65,19950516,11,28,31,27,30,32,12,24
