"winning_draw","frequency","percentage"
1,95,16.4
2,101,17.4
3,100,17.2
4,83,14.3
5,102,17.6
6,92,15.8
7,99,17
8,87,15
9,82,14.1
10,71,12.2
11,83,14.3
12,88,15.1
13,81,13.9
14,80,13.8
15,92,15.8
16,96,16.5
17,96,16.5
18,84,14.5
19,100,17.2
20,95,16.4
21,91,15.7
22,92,15.8
23,83,14.3
24,84,14.5
25,102,17.6
26,91,15.7
27,99,17
28,99,17
29,100,17.2
30,78,13.4
31,81,13.9
32,85,14.6
33,109,18.8
34,93,16
35,96,16.5
36,89,15.3
37,92,15.8
38,76,13.1
39,87,15
40,90,15.5
41,86,14.8
42,80,13.8
43,91,15.7
44,92,15.8
45,94,16.2
