"winning_draw","frequency","percentage"
1,23,51.1
2,28,62.2
3,24,53.3
4,15,33.3
5,23,51.1
6,19,42.2
7,19,42.2
8,17,37.8
9,15,33.3
10,11,24.4
11,19,42.2
12,20,44.4
13,14,31.1
14,13,28.9
15,20,44.4
16,15,33.3
17,25,55.6
18,20,44.4
19,29,64.4
20,23,51.1
21,23,51.1
22,24,53.3
23,22,48.9
24,17,37.8
25,24,53.3
26,23,51.1
27,17,37.8
28,25,55.6
29,26,57.8
30,10,22.2
31,19,42.2
32,18,40
33,19,42.2
34,25,55.6
35,11,24.4
36,13,28.9
37,19,42.2
38,24,53.3
39,18,40
40,12,26.7
41,17,37.8
42,23,51.1
43,20,44.4
44,20,44.4
45,21,46.7
